Start Timestamp,,,,End Timestamp,,,,,,Reason Code,,,,,,,,,Time (Fmt),,
7/26/2022 1:00:37 PM,,,,07/26/2022 01:10:10 PM,,,,,,ReasonCodeDescription=WorkQueue,,,,,,,,,00:09:33,,
7/26/2022 1:10:12 PM,,,,07/26/2022 02:14:32 PM,,,,,,ReasonCodeDescription=WorkQueue,,,,,,,,,01:04:20,,
7/26/2022 2:14:32 PM,,,,07/26/2022 02:43:50 PM,,,,,,ReasonCodeDescription=Lunch,,,,,,,,,00:29:18,,
7/26/2022 3:22:56 PM,,,,07/26/2022 03:25:34 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:38,,
7/26/2022 3:26:20 PM,,,,07/26/2022 03:28:10 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:50,,
7/26/2022 3:28:18 PM,,,,07/26/2022 03:29:03 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:45,,
7/26/2022 3:33:30 PM,,,,07/26/2022 03:36:20 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:50,,
7/26/2022 3:37:26 PM,,,,07/26/2022 03:41:46 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:20,,
7/26/2022 3:45:41 PM,,,,07/26/2022 03:48:35 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:54,,
7/26/2022 3:50:24 PM,,,,07/26/2022 03:51:18 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:54,,
7/26/2022 3:53:36 PM,,,,07/26/2022 03:55:57 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:21,,
7/26/2022 3:57:09 PM,,,,07/26/2022 03:58:40 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:31,,
7/26/2022 3:58:52 PM,,,,07/26/2022 03:59:26 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:34,,
7/26/2022 4:03:52 PM,,,,07/26/2022 04:05:58 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:06,,
7/26/2022 4:12:13 PM,,,,07/26/2022 04:14:28 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:15,,
7/26/2022 4:14:28 PM,,,,07/26/2022 04:20:13 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:05:45,,
7/26/2022 4:23:44 PM,,,,07/26/2022 04:33:14 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:09:30,,
7/26/2022 4:36:38 PM,,,,07/26/2022 04:37:29 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:51,,
7/26/2022 4:42:27 PM,,,,07/26/2022 04:45:42 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:15,,
7/26/2022 4:47:45 PM,,,,07/26/2022 04:49:48 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:03,,
7/26/2022 4:56:19 PM,,,,07/26/2022 04:58:52 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:33,,
7/26/2022 5:06:17 PM,,,,07/26/2022 05:11:38 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:05:21,,
7/26/2022 5:20:19 PM,,,,07/26/2022 05:24:10 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:51,,
7/26/2022 5:26:10 PM,,,,07/26/2022 05:29:51 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:41,,
7/26/2022 5:33:22 PM,,,,07/26/2022 05:34:48 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:26,,
7/26/2022 5:51:48 PM,,,,07/26/2022 05:53:05 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:17,,
7/26/2022 5:53:05 PM,,,,07/26/2022 05:55:42 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:02:37,,
7/26/2022 6:11:34 PM,,,,07/26/2022 06:13:29 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:55,,
7/26/2022 6:16:36 PM,,,,07/26/2022 06:17:21 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:45,,
7/26/2022 6:20:55 PM,,,,07/26/2022 06:22:17 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:22,,
